Assessment Name,Assessment URL,Text
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,General professional skills assessment
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,General professional skills assessment
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,Role-based skills simulation assessment
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,Role-based skills simulation assessment
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,Technical programming skills assessment
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,Technical programming skills assessment
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,General professional skills assessment
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,General professional skills assessment
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,General professional skills assessment
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,Role-based skills simulation assessment
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,General professional skills assessment
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,General professional skills assessment
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,General professional skills assessment
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,General professional skills assessment
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,General professional skills assessment
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,General professional skills assessment
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,General professional skills assessment
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,General professional skills assessment
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,General professional skills assessment
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,General professional skills assessment
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,General professional skills assessment
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,General professional skills assessment
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,Skills development and workforce assessment
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,Skills development and workforce assessment
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,General professional skills assessment
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,General professional skills assessment
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,General professional skills assessment
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,Skills development and workforce assessment
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,General professional skills assessment
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,General professional skills assessment
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,General professional skills assessment
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,General professional skills assessment
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,General professional skills assessment
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,General professional skills assessment
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,General professional skills assessment
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,General professional skills assessment
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,Technical programming skills assessment
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,Skills development and workforce assessment
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,Skills development and workforce assessment
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,General professional skills assessment
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,General professional skills assessment
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,General professional skills assessment
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,General professional skills assessment
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,General professional skills assessment
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,General professional skills assessment
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,General professional skills assessment
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,General professional skills assessment
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,Skills development and workforce assessment
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,Skills development and workforce assessment
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,General professional skills assessment
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,General professional skills assessment
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,General professional skills assessment
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,General professional skills assessment
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,General professional skills assessment
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,General professional skills assessment
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,General professional skills assessment
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,General professional skills assessment
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,General professional skills assessment
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,General professional skills assessment
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,General professional skills assessment
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,General professional skills assessment
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,General professional skills assessment
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,General professional skills assessment
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,General professional skills assessment
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,General professional skills assessment
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,General professional skills assessment
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,General professional skills assessment
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,General professional skills assessment
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,Skills development and workforce assessment
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,Skills development and workforce assessment
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,General professional skills assessment
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,General professional skills assessment
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,Skills development and workforce assessment
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,Skills development and workforce assessment
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Skills development and workforce assessment
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,General professional skills assessment
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,General professional skills assessment
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,General professional skills assessment
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,General professional skills assessment
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,General professional skills assessment
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,General professional skills assessment
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,General professional skills assessment
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,General professional skills assessment
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,General professional skills assessment
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,General professional skills assessment
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,General professional skills assessment
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,General professional skills assessment
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,Skills development and workforce assessment
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,General professional skills assessment
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Technical programming skills assessment
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,Technical programming skills assessment
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,Technical programming skills assessment
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,Technical programming skills assessment
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Technical programming skills assessment
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,Technical programming skills assessment
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,Technical programming skills assessment
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,General professional skills assessment
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,General professional skills assessment
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,General professional skills assessment
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,General professional skills assessment
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,General professional skills assessment
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,General professional skills assessment
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,General professional skills assessment
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,General professional skills assessment
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,General professional skills assessment
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,Skills development and workforce assessment
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,Skills development and workforce assessment
Managerial Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,Skills development and workforce assessment
Manual Testing (New),https://www.shl.com/products/product-catalog/view/manual-testing-new/,General professional skills assessment
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,General professional skills assessment
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,General professional skills assessment
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,General professional skills assessment
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,General professional skills assessment
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,General professional skills assessment
Marketing (New),https://www.shl.com/products/product-catalog/view/marketing-new/,General professional skills assessment
Maven (New),https://www.shl.com/products/product-catalog/view/maven-new/,General professional skills assessment
Mechanical Engineering (New),https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,General professional skills assessment
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,General professional skills assessment
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,General professional skills assessment
Metallurgical Engineering (New),https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,General professional skills assessment
MFS 360 Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,Skills development and workforce assessment
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,Skills development and workforce assessment
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,Skills development and workforce assessment
MFS 360 UCF Standard Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,Skills development and workforce assessment
Micro Focus Unified Functional Testing (New),https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,General professional skills assessment
Microservices (New),https://www.shl.com/products/product-catalog/view/microservices-new/,General professional skills assessment
Microsoft Dynamics Development (New),https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,Skills development and workforce assessment
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,General professional skills assessment
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,General professional skills assessment
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,General professional skills assessment
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,General professional skills assessment
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,General professional skills assessment
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,General professional skills assessment
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,General professional skills assessment
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,General professional skills assessment
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,General professional skills assessment
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,General professional skills assessment
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,General professional skills assessment
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,General professional skills assessment
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,General professional skills assessment
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,General professional skills assessment
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,Skills development and workforce assessment
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,Skills development and workforce assessment
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,Skills development and workforce assessment
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,General professional skills assessment
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,General professional skills assessment
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,General professional skills assessment
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,General professional skills assessment
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,General professional skills assessment
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,General professional skills assessment
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,General professional skills assessment
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,Skills development and workforce assessment
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,General professional skills assessment
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,General professional skills assessment
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,General professional skills assessment
Nursing (New),https://www.shl.com/products/product-catalog/view/nursing-new/,General professional skills assessment
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,General professional skills assessment
Operations Management (New),https://www.shl.com/products/product-catalog/view/operations-management-new/,General professional skills assessment
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,Skills development and workforce assessment
OPQ Candidate Report 2.0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,Skills development and workforce assessment
OPQ Emotional Intelligence Report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,Skills development and workforce assessment
OPQ Leadership Report,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,Skills development and workforce assessment
OPQ Manager Plus Report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,Skills development and workforce assessment
OPQ Manager Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,Skills development and workforce assessment
OPQ Maximising your Learning Report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,Skills development and workforce assessment
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,Skills development and workforce assessment
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,Skills development and workforce assessment
OPQ Premium Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,Skills development and workforce assessment
OPQ Profile Report,https://www.shl.com/products/product-catalog/view/opq-profile-report/,Skills development and workforce assessment
OPQ Team Impact Group Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,Skills development and workforce assessment
OPQ Team Impact Individual Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,Skills development and workforce assessment
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,Skills development and workforce assessment
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,General professional skills assessment
OPQ Team Types and Leadership Styles Report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,Skills development and workforce assessment
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,Skills development and workforce assessment
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,Skills development and workforce assessment
OPQ Universal Competency Report 1.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/,Skills development and workforce assessment
OPQ Universal Competency Report 2.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/,Skills development and workforce assessment
OPQ User and Managers Report,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/,Skills development and workforce assessment
OPQ User Report,https://www.shl.com/products/product-catalog/view/opq-user-report/,Skills development and workforce assessment
Oracle DBA (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,General professional skills assessment
Oracle DBA (Entry Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/,General professional skills assessment
Oracle PL/SQL (New),https://www.shl.com/products/product-catalog/view/oracle-plsql-new/,General professional skills assessment
Oracle WebLogic Server (New),https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,General professional skills assessment
Organic Chemistry (New),https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,General professional skills assessment
Paint Technology (New),https://www.shl.com/products/product-catalog/view/paint-technology-new/,General professional skills assessment
Pediatrics (New),https://www.shl.com/products/product-catalog/view/pediatrics-new/,General professional skills assessment
Pega Development (New),https://www.shl.com/products/product-catalog/view/pega-development-new/,Skills development and workforce assessment
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new/,General professional skills assessment
Petrochemical Engineering (New),https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,General professional skills assessment
Petroleum Engineering (New),https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,General professional skills assessment
Pharmaceutical Analysis (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,General professional skills assessment
Pharmaceutical Chemistry (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,General professional skills assessment
Pharmaceutical Science (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,General professional skills assessment
Pharmaceutics (New),https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,General professional skills assessment
Pharmacology (New),https://www.shl.com/products/product-catalog/view/pharmacology-new/,General professional skills assessment
PHP (New),https://www.shl.com/products/product-catalog/view/php-new/,General professional skills assessment
PJM Development Report,https://www.shl.com/products/product-catalog/view/pjm-development-report/,Skills development and workforce assessment
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,Skills development and workforce assessment
Polymer Engineering (New),https://www.shl.com/products/product-catalog/view/polymer-engineering-new/,General professional skills assessment
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,General professional skills assessment
Power System Engineering (New),https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,General professional skills assessment
Prism (New),https://www.shl.com/products/product-catalog/view/prism-new/,General professional skills assessment
